 20,31,314,31,314,48,20,48,unlabelled
 136,346,328,346,328,383,136,383,unlabelled
 77,545,193,545,193,582,77,582,unlabelled
 354,476,375,476,375,496,354,496,unlabelled
 106,604,343,604,343,623,106,623,unlabelled
 87,626,133,626,133,646,87,646,unlabelled
 157,635,278,635,278,658,157,658,unlabelled
 318,626,370,626,370,643,318,643,unlabelled
 105,679,340,679,340,699,105,699,unlabelled
 75,742,252,742,252,763,75,763,unlabelled
 85,766,218,766,218,784,85,784,unlabelled
 171,788,282,788,282,808,171,808,unlabelled
 79,814,379,814,379,849,79,849,unlabelled
 84,852,377,852,377,870,84,870,unlabelled
 84,875,370,875,370,895,84,895,unlabelled
 92,922,350,922,350,943,92,943,unlabelled
 93,1091,182,1091,182,1121,93,1121,unlabelled
 586,1160,615,1160,615,1188,586,1188,unlabelled
 158,1242,401,1242,401,1303,158,1303,unlabelled
 91,1335,474,1335,474,1367,91,1367,unlabelled
 85,1371,307,1371,307,1398,85,1398,unlabelled
 651,1277,766,1277,766,1298,651,1298,unlabelled
 653,1306,1034,1306,1034,1330,653,1330,unlabelled
 651,1356,751,1356,751,1387,651,1387,unlabelled
 850,1152,1078,1152,1078,1183,850,1183,unlabelled
 585,237,729,237,729,263,585,263,unlabelled
 514,264,752,264,752,282,514,282,unlabelled
 710,300,795,300,795,325,710,325,unlabelled
 705,327,794,327,794,352,705,352,unlabelled
 506,303,581,303,581,321,506,321,unlabelled
 507,332,581,332,581,352,507,352,unlabelled
 506,370,545,370,545,392,506,392,unlabelled
 745,368,745,368,745,368,745,368,unlabelled
 658,371,794,371,794,392,658,392,unlabelled
 597,394,704,394,704,404,597,404,unlabelled
 559,403,735,403,735,416,559,416,unlabelled
 521,414,662,414,662,427,521,427,unlabelled
 668,417,776,417,776,428,668,428,unlabelled
 576,430,757,430,757,443,576,443,unlabelled
 548,448,766,448,766,470,548,470,unlabelled
 565,476,725,476,725,487,565,487,unlabelled
 891,465,891,465,891,465,891,465,unlabelled
 510,280,706,280,706,303,510,303,unlabelled
 230,140,269,140,269,174,230,174,unlabelled
 660,141,688,141,688,179,660,179,unlabelled
 1052,1019,1095,1019,1095,1051,1052,1051,unlabelled
