 58,68,233,68,233,100,58,100,unlabelled
 699,88,772,88,772,120,699,120,unlabelled
 78,234,122,234,122,252,78,252,unlabelled
 860,265,918,265,918,284,860,284,unlabelled
 76,268,120,268,120,286,76,286,unlabelled
 624,286,825,286,825,307,624,307,unlabelled
 78,304,122,304,122,322,78,322,unlabelled
 78,338,120,338,120,356,78,356,unlabelled
 432,342,575,342,575,369,432,369,unlabelled
 430,374,777,374,777,394,430,394,unlabelled
 595,396,773,396,773,418,595,418,unlabelled
 78,408,204,408,204,428,78,428,unlabelled
 452,416,748,416,748,440,452,440,unlabelled
 292,556,316,556,316,635,292,635,unlabelled
 342,575,364,575,364,596,342,596,unlabelled
 152,624,173,624,173,797,152,797,unlabelled
 214,556,250,556,250,674,214,674,unlabelled
 194,756,218,756,218,808,194,808,unlabelled
 416,787,449,787,449,835,416,835,unlabelled
 672,602,688,602,688,808,672,808,unlabelled
 293,755,318,755,318,868,293,868,unlabelled
 62,970,239,970,239,1003,62,1003,unlabelled
 697,997,775,997,775,1025,697,1025,unlabelled
 1028,1103,1056,1103,1056,1138,1028,1138,unlabelled
 71,1203,113,1203,113,1221,71,1221,unlabelled
 617,1195,813,1195,813,1218,617,1218,unlabelled
 430,1241,492,1241,492,1263,430,1263,unlabelled
 586,1296,764,1296,764,1316,586,1316,unlabelled
 444,1311,508,1311,508,1341,444,1341,unlabelled
 518,1314,740,1314,740,1340,518,1340,unlabelled
 660,1428,918,1428,918,1448,660,1448,unlabelled
 368,1445,571,1445,571,1476,368,1476,unlabelled
 296,1471,340,1471,340,1511,296,1511,unlabelled
 322,1564,382,1564,382,1585,322,1585,unlabelled
 497,1579,693,1579,693,1605,497,1605,unlabelled
 88,1644,395,1644,395,1666,88,1666,unlabelled
 678,1652,742,1652,742,1678,678,1678,unlabelled
 94,1681,396,1681,396,1701,94,1701,unlabelled
 674,1692,784,1692,784,1716,674,1716,unlabelled
 580,340,692,340,692,370,580,370,unlabelled
 694,348,772,348,772,370,694,370,unlabelled
 345,231,370,231,370,251,345,251,unlabelled
 191,558,215,558,215,631,191,631,unlabelled
 253,563,275,563,275,648,253,648,unlabelled
 274,664,299,664,299,687,274,687,unlabelled
 276,713,297,713,297,738,276,738,unlabelled
 254,679,274,679,274,817,254,817,unlabelled
 342,731,365,731,365,838,342,838,unlabelled
 176,664,194,664,194,752,176,752,unlabelled
 154,814,174,814,174,869,154,869,unlabelled
 173,815,191,815,191,868,173,868,unlabelled
 199,815,218,815,218,864,199,864,unlabelled
 217,813,252,813,252,873,217,873,unlabelled
 94,591,114,591,114,838,94,838,unlabelled
 114,573,132,573,132,863,114,863,unlabelled
 364,648,379,648,379,815,364,815,unlabelled
 378,640,398,640,398,821,378,821,unlabelled
 397,660,416,660,416,770,397,770,unlabelled
 419,601,442,601,442,770,419,770,unlabelled
 446,587,463,587,463,764,446,764,unlabelled
 484,584,503,584,503,824,484,824,unlabelled
 503,585,527,585,527,824,503,824,unlabelled
 526,630,544,630,544,819,526,819,unlabelled
 564,563,585,563,585,819,564,819,unlabelled
 586,627,601,627,601,822,586,822,unlabelled
 607,626,627,626,627,820,607,820,unlabelled
 627,593,643,593,643,820,627,820,unlabelled
 646,591,665,591,665,800,646,800,unlabelled
 692,647,708,647,708,753,692,753,unlabelled
 709,635,730,635,730,786,709,786,unlabelled
 728,556,747,556,747,718,728,718,unlabelled
 70,1136,118,1136,118,1154,70,1154,unlabelled
 74,1168,116,1168,116,1186,74,1186,unlabelled
 70,1237,115,1237,115,1257,70,1257,unlabelled
 70,1299,191,1299,191,1317,70,1317,unlabelled
 849,1171,916,1171,916,1192,849,1192,unlabelled
 691,1249,765,1249,765,1266,691,1266,unlabelled
 465,1184,465,1184,465,1184,465,1184,unlabelled
 494,1243,684,1243,684,1272,494,1272,unlabelled
 876,1247,876,1247,876,1247,876,1247,unlabelled
 876,1245,876,1245,876,1245,876,1245,unlabelled
 432,1506,654,1506,654,1545,432,1545,unlabelled
 235,1584,340,1584,340,1603,235,1603,unlabelled
 181,1562,272,1562,272,1584,181,1584,unlabelled
 108,1605,282,1605,282,1622,108,1622,unlabelled
 124,1625,302,1625,302,1644,124,1644,unlabelled
 127,1700,640,1700,640,1719,127,1719,unlabelled
 346,1136,361,1136,361,1155,346,1155,unlabelled
 432,1276,773,1276,773,1290,432,1290,unlabelled
 309,1048,557,1048,557,1128,309,1128,unlabelled
 339,1173,602,1173,602,1224,339,1224,unlabelled
 1046,1507,1088,1507,1088,1548,1046,1548,unlabelled
 1058,181,1103,181,1103,234,1058,234,unlabelled
 1088,630,1121,630,1121,684,1088,684,unlabelled
 238,83,461,83,461,117,238,117,unlabelled
 248,123,371,123,371,148,248,148,unlabelled
 211,162,354,162,354,192,211,192,unlabelled
 294,200,366,200,366,226,294,226,unlabelled
 358,148,602,148,602,200,358,200,unlabelled
 353,176,365,176,365,176,353,176,unlabelled
 374,270,605,270,605,305,374,305,unlabelled
 493,216,623,216,623,265,493,265,unlabelled
